은행코드,은행명,상품명,상품개요_설명,계약기간개월수_최소구간,계약기간개월수_최대구간,가입금액_최소구간,가입금액_최대구간,기본금리
071,우체국,우체국신한우정적금,우체국예금과 신한카드 이용 고객을 위한 제휴 적금으로 ‘우대이율’ 및 신한카드 ‘특별리워드’ 혜택 제공,12개월,12개월,제한없음,제한없음,2.7
032,부산은행,너만 Solo 적금,결혼 시 높은 우대금리를 부여하는 고금리 결혼특화상품,24개월 이상,36개월 미만,제한없음,제한없음,2.45
A22,푸른저축,정기적금,일정한 기간동안 정기적으로 일정금액을 납부하시고 계약기간 만료시 적립한 원금과 이자를 받으시는 적립식 상품입니다,24개월이상,60개월이하,제한없음,제한없음,4.0
A22,푸른저축,정기적금,일정한 기간동안 정기적으로 일정금액을 납부하시고 계약기간 만료시 적립한 원금과 이자를 받으시는 적립식 상품입니다,12개월이상,24개월이하,제한없음,제한없음,4.0
A22,푸른저축,자유적립예금,일정한기간을 정하고 금액및 회수에 제한없이 자유롭게 저축하여 만기시에 월복리로 계산된 이자와 원금을 받으시는 편리한 상품입니다,12개월이상,24개월이하,제한없음,제한없음,4.1
032,부산은행,상호부금,"만기에 이자와 함께 목돈을 마련할 수 있으며, 
중간에 목돈이 필요하시면 대출도 가능한 상품",36개월 이상,60개월 이하,제한없음,제한없음,3.05
039,경남은행,상호부금,매월 일정액의 부금 납입으로 목돈도 마련하고 중도에 목돈이 필요할 때 대출도 받을 수있는 편리한 저축 상품,24개월 이상,36개월  미만,제한없음,제한없음,3.3
034,광주은행,쏠쏠한MY디지털적금,상품서비스 안내 받거나 신규 예적금 거래 시 쏠쏠한 우대금리,24개월,24개월,제한없음,제한없음,3.6
034,광주은행,불타는청춘적금,액티브 시니어고객 맞춤형 적금상품,12개월 이상,24개월 미만,제한없음,제한없음,3.3
034,광주은행,불타는청춘적금,액티브 시니어고객 맞춤형 적금상품,12개월 이상,24개월 미만,제한없음,제한없음,3.1
088,신한은행,한달부터 적금(매일),1개월 이상 12개월 이내 가입 가능한 상품으로 일정회차 이상 납입시 우대금리를 제공하는 적립식 예금,1개월 이상,12개월 이하,제한없음,제한없음,2.5
034,광주은행,일반정기적금,매월 일정한 금액을 저축하여 목돈을 마련하는 적립식 상품,6개월 이상,12개월 미만,제한없음,제한없음,2.85
034,광주은행,일반정기적금,매월 일정한 금액을 저축하여 목돈을 마련하는 적립식 상품,12개월 이상,24개월 미만,제한없음,제한없음,2.95
034,광주은행,일반정기적금,매월 일정한 금액을 저축하여 목돈을 마련하는 적립식 상품,24개월 이상,36개월 미만,제한없음,제한없음,3.05
034,광주은행,일반정기적금,매월 일정한 금액을 저축하여 목돈을 마련하는 적립식 상품,36개월,36개월,제한없음,제한없음,3.15
007,수협은행,달려라2030정기적금,2030세대를 위한 고객 자금수요에 맞추어 여유자금을 적립하는 고금리 정액적립식 상품,12개월 이상,24개월 미만,제한없음,제한없음,2.75
007,수협은행,달려라2030정기적금,2030세대를 위한 고객 자금수요에 맞추어 여유자금을 적립하는 고금리 정액적립식 상품,24개월 이상,36개월 미만,제한없음,제한없음,2.85
039,경남은행,정기적금,매월 일정액을 적립하여 목돈을 마련할 수 있는 상품으로서 1개월 이상 5년 이내에서 월 단위로 기간을 정할 수 있는 적립식 상품,12개월 이상,24개월 미만,제한없음,제한없음,3.2
039,경남은행,BNK 디지털데스크 전용 적금,디지털데스크에서만 가입 가능한 적금,12개월,12개월,제한없음,제한없음,3.75
011,농협은행,정기적금,일정기간 동안 일정금액을 정기적으로 적립하는 예금상품,24개월 이상,36개월 미만,제한없음,제한없음,1.2
039,경남은행,신자유부금,입금횟수에 제한 없이 수시로 입금할 수 있는 기한부 자유적립식 저축,6개월 이상,12개월 미만,제한없음,제한없음,2.7
007,수협은행,정기적금,일정한 기간을 정하여 일정일에 일정금액을 납입하면 계약금액을 지급하는 목돈마련저축,6개월 이상,12개월 미만,제한없음,제한없음,3.0
039,경남은행,정기적금,매월 일정액을 적립하여 목돈을 마련할 수 있는 상품으로서 1개월 이상 5년 이내에서 월 단위로 기간을 정할 수 있는 적립식 상품,24개월 이상,36개월 미만,제한없음,제한없음,3.3
039,경남은행,마니마니자유적금,여유자금이 생길 때 자유롭게 적립 가능한 자유적립식 상품,12개월 이상,24개월 미만,제한없음,제한없음,3.4
039,경남은행,마니마니자유적금,여유자금이 생길 때 자유롭게 적립 가능한 자유적립식 상품,24개월 이상,36개월 미만,제한없음,제한없음,3.45
039,경남은행,마니마니자유적금,여유자금이 생길 때 자유롭게 적립 가능한 자유적립식 상품,36개월 이상,48개월 미만,제한없음,제한없음,3.55
039,경남은행,마니마니자유적금,여유자금이 생길 때 자유롭게 적립 가능한 자유적립식 상품,48개월 이상,60개월 미만,제한없음,제한없음,3.55
039,경남은행,마니마니자유적금,여유자금이 생길 때 자유롭게 적립 가능한 자유적립식 상품,60개월,60개월,제한없음,제한없음,3.55
039,경남은행,정기적금,매월 일정액을 적립하여 목돈을 마련할 수 있는 상품으로서 1개월 이상 5년 이내에서 월 단위로 기간을 정할 수 있는 적립식 상품,1개월 이상,6개월 미만,제한없음,제한없음,2.4
039,경남은행,정기적금,매월 일정액을 적립하여 목돈을 마련할 수 있는 상품으로서 1개월 이상 5년 이내에서 월 단위로 기간을 정할 수 있는 적립식 상품,36개월 이상,48개월 미만,제한없음,제한없음,3.4
039,경남은행,정기적금,매월 일정액을 적립하여 목돈을 마련할 수 있는 상품으로서 1개월 이상 5년 이내에서 월 단위로 기간을 정할 수 있는 적립식 상품,48개월 이상,60개월 미만,제한없음,제한없음,3.4
039,경남은행,정기적금,매월 일정액을 적립하여 목돈을 마련할 수 있는 상품으로서 1개월 이상 5년 이내에서 월 단위로 기간을 정할 수 있는 적립식 상품,60개월,60개월,제한없음,제한없음,3.4
032,부산은행,저탄소 실천 적금,생활 속에서 탄소 배출 감축에 참여하는 고객 실천형 환경 상품,12개월 이상,24개월 미만,제한없음,제한없음,3.35
032,부산은행,저탄소 실천 적금,생활 속에서 탄소 배출 감축에 참여하는 고객 실천형 환경 상품,24개월 이상,36개월 미만,제한없음,제한없음,3.45
032,부산은행,저탄소 실천 적금,생활 속에서 탄소 배출 감축에 참여하는 고객 실천형 환경 상품,36개월,36개월,제한없음,제한없음,3.55
032,부산은행,너만 Solo 적금,결혼 시 높은 우대금리를 부여하는 고금리 결혼특화상품,12개월 이상,24개월 미만,제한없음,제한없음,2.4
F05,오투저축은행,자유적립예금,계약기간내 이내에서 횟수와 금액에 제한없이 입금이 자유로운 예금,12개월이상,24개월미만,제한없음,제한없음,4.3
039,경남은행,상호부금,매월 일정액의 부금 납입으로 목돈도 마련하고 중도에 목돈이 필요할 때 대출도 받을 수있는 편리한 저축 상품,6개월 이상,12개월  미만,제한없음,제한없음,2.9
039,경남은행,상호부금,매월 일정액의 부금 납입으로 목돈도 마련하고 중도에 목돈이 필요할 때 대출도 받을 수있는 편리한 저축 상품,12개월 이상,24개월  미만,제한없음,제한없음,3.2
039,경남은행,상호부금,매월 일정액의 부금 납입으로 목돈도 마련하고 중도에 목돈이 필요할 때 대출도 받을 수있는 편리한 저축 상품,36개월 이상,48개월  미만,제한없음,제한없음,3.4
039,경남은행,상호부금,매월 일정액의 부금 납입으로 목돈도 마련하고 중도에 목돈이 필요할 때 대출도 받을 수있는 편리한 저축 상품,48개월 이상,60개월  미만,제한없음,제한없음,3.4
032,부산은행,정기적금,매월 일정한 금액을 불입하여 목돈을 마련하는데 유리한 상품,6개월 이상,12개월 미만,제한없음,제한없음,2.6
032,부산은행,정기적금,매월 일정한 금액을 불입하여 목돈을 마련하는데 유리한 상품,12개월 이상,24개월 미만,제한없음,제한없음,2.9
032,부산은행,정기적금,매월 일정한 금액을 불입하여 목돈을 마련하는데 유리한 상품,24개월 이상,36개월 미만,제한없음,제한없음,2.95
032,부산은행,정기적금,매월 일정한 금액을 불입하여 목돈을 마련하는데 유리한 상품,36개월 이상,60개월 이하,제한없음,제한없음,3.05
F05,오투저축은행,자유적립예금,계약기간내 이내에서 횟수와 금액에 제한없이 입금이 자유로운 예금,24개월이상,36개월이하,제한없음,제한없음,3.9
039,경남은행,신자유부금,입금횟수에 제한 없이 수시로 입금할 수 있는 기한부 자유적립식 저축,12개월 이상,24개월 미만,제한없음,제한없음,3.0
039,경남은행,신자유부금,입금횟수에 제한 없이 수시로 입금할 수 있는 기한부 자유적립식 저축,24개월 이상,36개월 미만,제한없음,제한없음,3.1
039,경남은행,신자유부금,입금횟수에 제한 없이 수시로 입금할 수 있는 기한부 자유적립식 저축,36개월,36개월,제한없음,제한없음,3.2
088,신한은행,신한 청년도약계좌,"청년의 중장기 자산형성을 위한 정책형 금융상품으로, 정부기여금과 비과세혜택을 제공하는 저축상품",60개월,60개월,제한없음,제한없음,4.5
088,신한은행,한달부터 적금(매주),1개월 이상 12개월 이내 가입 가능한 상품으로 일정회차 이상 납입시 우대금리를 제공하는 적립식 예금,1개월 이상,12개월 이하,제한없음,제한없음,2.5
088,신한은행,신한 알쏠 적금,원하는 가입기간을 선택하여 월납입한도 내 신규와 입금이 자유롭고 거래실적에 따라 우대이자율을 제공하는 적금,12개월 이상,24개월 미만,제한없음,제한없음,3.0
088,신한은행,신한 알쏠 적금,원하는 가입기간을 선택하여 월납입한도 내 신규와 입금이 자유롭고 거래실적에 따라 우대이자율을 제공하는 적금,24개월 이상,36개월 미만,제한없음,제한없음,3.1
088,신한은행,신한 알쏠 적금,원하는 가입기간을 선택하여 월납입한도 내 신규와 입금이 자유롭고 거래실적에 따라 우대이자율을 제공하는 적금,36개월,36개월,제한없음,제한없음,3.2
088,신한은행,정기적금,일정기간 후에 일정금액을 지급할 것을 약정하고 월1회 일정한 일자에 일정금액을 수입하는 적금 상품,1개월 이상,3개월 미만,제한없음,제한없음,2.2
088,신한은행,정기적금,일정기간 후에 일정금액을 지급할 것을 약정하고 월1회 일정한 일자에 일정금액을 수입하는 적금 상품,3개월 이상,6개월 미만,제한없음,제한없음,2.2
A09,The-K 저축은행,정기적금,일정한 금액을 정기적으로 납입하여 만기일에 이자를 지급받는 상품(영업점 가입전용),6개월 이상,12개월 미만,제한없음,제한없음,2.1
A09,The-K 저축은행,정기적금,일정한 금액을 정기적으로 납입하여 만기일에 이자를 지급받는 상품(영업점 가입전용),12개월 이상,24개월 미만,제한없음,제한없음,3.1
A09,The-K 저축은행,자유적립예금,일정한 기간을 정하고 납입금액 및 회수에 제한없이 자유롭게 납입한 후 만기에 월복리로 이자를 계산하여 원금과 함께 수령하는 예금,3개월 이상,6개월 미만,제한없음,제한없음,1.1
A09,The-K 저축은행,자유적립예금,일정한 기간을 정하고 납입금액 및 회수에 제한없이 자유롭게 납입한 후 만기에 월복리로 이자를 계산하여 원금과 함께 수령하는 예금,6개월,6개월,제한없음,제한없음,3.2
A09,The-K 저축은행,자유적립예금,일정한 기간을 정하고 납입금액 및 회수에 제한없이 자유롭게 납입한 후 만기에 월복리로 이자를 계산하여 원금과 함께 수령하는 예금,6개월 이상,9개월 미만,제한없음,제한없음,2.7
A09,The-K 저축은행,자유적립예금,일정한 기간을 정하고 납입금액 및 회수에 제한없이 자유롭게 납입한 후 만기에 월복리로 이자를 계산하여 원금과 함께 수령하는 예금,9개월 이상,12개월 미만,제한없음,제한없음,3.8
A09,The-K 저축은행,자유적립예금,일정한 기간을 정하고 납입금액 및 회수에 제한없이 자유롭게 납입한 후 만기에 월복리로 이자를 계산하여 원금과 함께 수령하는 예금,12개월 이상,18개월 미만,제한없음,제한없음,4.1
A09,The-K 저축은행,자유적립예금,일정한 기간을 정하고 납입금액 및 회수에 제한없이 자유롭게 납입한 후 만기에 월복리로 이자를 계산하여 원금과 함께 수령하는 예금,18개월 이상,36개월 이하,제한없음,제한없음,3.3
A09,The-K 저축은행,e-자유적립예금,일정한 기간을 정하고 납입금액 및 회수에 제한없이 자유롭게 납입한 후 만기에 월복리로 이자를 계산하여 원금과 함께 수령하는 온라인가입전용 예금,3개월 이상,6개월 미만,제한없음,제한없음,1.1
A09,The-K 저축은행,e-자유적립예금,일정한 기간을 정하고 납입금액 및 회수에 제한없이 자유롭게 납입한 후 만기에 월복리로 이자를 계산하여 원금과 함께 수령하는 온라인가입전용 예금,6개월,6개월,제한없음,제한없음,3.2
A09,The-K 저축은행,e-자유적립예금,일정한 기간을 정하고 납입금액 및 회수에 제한없이 자유롭게 납입한 후 만기에 월복리로 이자를 계산하여 원금과 함께 수령하는 온라인가입전용 예금,6개월 초과,9개월 미만,제한없음,제한없음,2.7
A09,The-K 저축은행,e-자유적립예금,일정한 기간을 정하고 납입금액 및 회수에 제한없이 자유롭게 납입한 후 만기에 월복리로 이자를 계산하여 원금과 함께 수령하는 온라인가임전용 예금,9개월 이상,12개월 미만,제한없음,제한없음,3.8
A09,The-K 저축은행,e-자유적립예금,일정한 기간을 정하고 납입금액 및 회수에 제한없이 자유롭게 납입한 후 만기에 월복리로 이자를 계산하여 원금과 함께 수령하는 온라인가입전용 예금,12개월 이상,18개월 미만,제한없음,제한없음,4.1
A09,The-K 저축은행,e-자유적립예금,일정한 기간을 정하고 납입금액 및 회수에 제한없이 자유롭게 납입한 후 만기에 월복리로 이자를 계산하여 원금과 함께 수령하는 온라인가입전용 예금,18개월 이상,36개월 이하,제한없음,제한없음,3.3
A11,HB 저축은행,정기적금,일정기간 일정금액을 납입하여 목돈을 마련하는 상품,12개월 이상,24개월 미만,제한없음,제한없음,3.5
A09,The-K 저축은행,e-정기적금,목돈마련을 지원하기 위하여 높은 금리를 지급하는 온라인가입전용 적립식 예금,6개월 이상,12개월 미만,제한없음,제한없음,2.1
A09,The-K 저축은행,e-정기적금,목돈마련을 지원하기 위하여 높은 금리를 지급하는 온라인가입전용 적립식 예금,12개월 이상,24개월 미만,제한없음,제한없음,3.1
A09,The-K 저축은행,e-정기적금,목돈마련을 지원하기 위하여 높은 금리를 지급하는 온라인가입전용 적립식 예금,24개월 이상,36개월 미만,제한없음,제한없음,3.2
A09,The-K 저축은행,e-정기적금,목돈마련을 지원하기 위하여 높은 금리를 지급하는 온라인가입전용 적립식 예금,36개월,36개월,제한없음,제한없음,3.3
A11,HB 저축은행,정기적금,일정기간 일정금액을 납입하여 목돈을 마련하는 상품,24개월 이상,36개월 미만,제한없음,제한없음,3.6
A11,HB 저축은행,정기적금,일정기간 일정금액을 납입하여 목돈을 마련하는 상품,36개월,36개월,제한없음,제한없음,3.7
A11,HB 저축은행,비대면 정기적금,일정기간 일정금액을 납입하여 목돈을 마련하는 비대면 가입전용 상품,12개월 이상,24개월 미만,제한없음,제한없음,3.7
A11,HB 저축은행,비대면 정기적금,일정기간 일정금액을 납입하여 목돈을 마련하는 비대면 가입전용 상품,24개월 이상,36개월 미만,제한없음,제한없음,3.8
A11,HB 저축은행,비대면 정기적금,일정기간 일정금액을 납입하여 목돈을 마련하는 비대면 가입전용 상품,36개월,36개월,제한없음,제한없음,3.9
007,수협은행,상호부금,"일정한 기간동안 매월 저축금을 납입하면 만기일에 계약한 금액을 목돈으로 받을 수 있으며, 정기적금보다 계약기간의 선택폭이 큰 적립식예금",6개월 이상,12개월 미만,제한없음,제한없음,2.3
A19,다올 저축은행,Fi정기적금,매월 일정금액을 불입하여 만기시 목돈을 마련하는 상품,6개월 이상,12개월 미만,제한없음,제한없음,3.6
A19,다올 저축은행,Fi정기적금,매월 일정금액을 불입하여 만기시 목돈을 마련하는 상품,24개월 이상,36개월 이하,제한없음,제한없음,4.4
034,광주은행,TenTen양궁적금,광주은행 TenTen양궁단&광주여대 양궁단을 응원합니다,12개월,12개월,제한없음,제한없음,3.4
034,광주은행,행운적금,행운 당첨 계좌에는 연 10%p 이벤트 우대금리,12개월,12개월,제한없음,제한없음,3.3
034,광주은행,TenTen양궁적금,광주은행 TenTen양궁단&광주여대 양궁단을 응원합니다,12개월,12개월,제한없음,제한없음,3.1
034,광주은행,행운적금,행운 당첨 계좌에는 연 10%p 이벤트 우대금리,12개월,12개월,제한없음,제한없음,3.5
007,수협은행,정기적금,일정한 기간을 정하여 일정일에 일정금액을 납입하면 계약금액을 지급하는 목돈마련저축,36개월,36개월,제한없음,제한없음,3.0
F05,오투저축은행,자유적립예금,계약기간내 이내에서 횟수와 금액에 제한없이 입금이 자유로운 예금,6개월이상,12개월미만,제한없음,제한없음,3.5
034,광주은행,넋이 적금,오월의 숭고한 정신을 기억하며 함께 나누고 상생하는 정기적금,24개월,24개월,제한없음,제한없음,3.15
034,광주은행,쏠쏠한MY디지털적금,상품서비스 안내 받거나 신규 예적금 거래 시 쏠쏠한 우대금리,12개월,12개월,제한없음,제한없음,3.5
034,광주은행,쏠쏠한MY디지털적금,상품서비스 안내 받거나 신규 예적금 거래 시 쏠쏠한 우대금리,12개월,12개월,제한없음,제한없음,3.3
034,광주은행,쏠쏠한MY디지털적금,상품서비스 안내 받거나 신규 예적금 거래 시 쏠쏠한 우대금리,24개월,24개월,제한없음,제한없음,3.4
034,광주은행,저금통적금,일상속에 저축은 시작되었다! 소액적립 특화상품!,24개월,24개월,제한없음,제한없음,3.1
034,광주은행,상호부금,정기적으로 소정의 부금을 납입할 의무를 부담하는 적립식 상품,12개월 이상,24개월 미만,제한없음,제한없음,2.95
034,광주은행,저금통적금,일상속에 저축은 시작되었다! 소액적립 특화상품!,36개월,36개월,제한없음,제한없음,3.2
034,광주은행,불타는청춘적금,액티브 시니어고객 맞춤형 적금상품,24개월 이상,36개월 미만,제한없음,제한없음,3.4
034,광주은행,불타는청춘적금,액티브 시니어고객 맞춤형 적금상품,24개월 이상,36개월 미만,제한없음,제한없음,3.2
034,광주은행,넋이 적금,오월의 숭고한 정신을 기억하며 함께 나누고 상생하는 정기적금,12개월,12개월,제한없음,제한없음,2.75
034,광주은행,불타는청춘적금,액티브 시니어고객 맞춤형 적금상품,36개월,36개월,제한없음,제한없음,3.5
034,광주은행,불타는청춘적금,액티브 시니어고객 맞춤형 적금상품,36개월,36개월,제한없음,제한없음,3.3
034,광주은행,넋이 적금,오월의 숭고한 정신을 기억하며 함께 나누고 상생하는 정기적금,12개월,12개월,제한없음,제한없음,2.95
034,광주은행,넋이 적금,오월의 숭고한 정신을 기억하며 함께 나누고 상생하는 정기적금,24개월,24개월,제한없음,제한없음,2.95
F05,오투저축은행,오-정기적금,기간과 가입한도를 미리 정하고 금액을 매월 납입 약정일에 정기적으로 불입하는 정액적립식 상품,12개월,12개월,제한없음,제한없음,5.0
007,수협은행,Sh100세만기자유적금,"고객의 자금수요에 맞추어 생활자금은 적립하고, 필요자금은 인출하고, 여유자금은 거치할 수 있는 거치식, 적립식, 입출금이 자유로운 예금의 장점이 결합된 100세만기의 자유적립식 상품",12개월,12개월,제한없음,제한없음,2.45
034,광주은행,상호부금,정기적으로 소정의 부금을 납입할 의무를 부담하는 적립식 상품,24개월 이상,36개월 미만,제한없음,제한없음,3.05
D05,드림저축은행,정기적금,목돈 마련에 편리하며 종류에 따라 일정 기간 경과 후 대출도 받으실 수 있는 예금으로 예금자 보호법에 따라 보호가 되는 상품입니다.,24개월 이상,36개월 미만,제한없음,제한없음,3.5
034,광주은행,상호부금,정기적으로 소정의 부금을 납입할 의무를 부담하는 적립식 상품,36개월,36개월,제한없음,제한없음,3.15
034,광주은행,상호부금,정기적으로 소정의 부금을 납입할 의무를 부담하는 적립식 상품,6개월 이상,12개월 미만,제한없음,제한없음,2.85
007,수협은행,상호부금,"일정한 기간동안 매월 저축금을 납입하면 만기일에 계약한 금액을 목돈으로 받을 수 있으며, 정기적금보다 계약기간의 선택폭이 큰 적립식예금",60개월,60개월,제한없음,제한없음,2.7
D05,드림저축은행,정기적금,목돈 마련에 편리하며 종류에 따라 일정 기간 경과 후 대출도 받으실 수 있는 예금으로 예금자 보호법에 따라 보호가 되는 상품입니다.,36개월,36개월,제한없음,제한없음,3.0
D05,드림저축은행,자유적립예금,목돈 마련에 편리하며 종류에 따라 일정 기간 경과 후 대출도 받으실 수 있는 예금으로 예금자 보호법에 따라 보호가 되는 상품입니다. (월복리 적립식 상품),18개월 이상,24개월 미만,제한없음,제한없음,3.0
F05,오투저축은행,비대면 정기적금,기간과 가입한도를 미리 정하고 금액을 매월 납입 약정일에 정기적으로 불입하는 정액적립식 상품,6개월이상,12개월미만,제한없음,제한없음,3.5
D02,대백저축은행,자유적립예금,일정금액을 정기적으로 납입하여 만기일에 원리금을 지급받는 목돈마련 상품,6개월 이상,12개월 미만,제한없음,제한없음,3.8
088,신한은행,정기적금,일정기간 후에 일정금액을 지급할 것을 약정하고 월1회 일정한 일자에 일정금액을 수입하는 적금 상품,36개월,36개월,제한없음,제한없음,2.9
081,하나은행,내집마련더블업(Double-Up)적금,"『주택청약종합저축』에 먼저 가입하고 동일자에 이 상품을 가입하여, 이 상품의 만기에 『주
택청약종합저축』을 보유하고 있으면 기본금리 만큼의 우대금리를 추가 제공 함",12개월,12개월,제한없음,제한없음,2.5
081,하나은행,내집마련더블업(Double-Up)적금,"『주택청약종합저축』에 먼저 가입하고 동일자에 이 상품을 가입하여, 이 상품의 만기에 『주
택청약종합저축』을 보유하고 있으면 기본금리 만큼의 우대금리를 추가 제공 함",24개월,24개월,제한없음,제한없음,1.75
F05,오투저축은행,비대면 정기적금,기간과 가입한도를 미리 정하고 금액을 매월 납입 약정일에 정기적으로 불입하는 정액적립식 상품,12개월이상,24개월미만,제한없음,제한없음,4.3
032,부산은행,주택청약종합저축,민영주택 및 국민주택 모두 청약 가능한 만능상품,1개월 이상,12개월 미만,제한없음,제한없음,1.3
032,부산은행,주택청약종합저축,민영주택 및 국민주택 모두 청약 가능한 만능상품,12개월 이상,24개월 미만,제한없음,제한없음,1.8
081,하나은행,자유적금,계약기간 동안 수시로 적립이 가능한 자유 적립식 상품,6개월 이상,12개월 미만,제한없음,제한없음,2.35
081,하나은행,자유적금,계약기간 동안 수시로 적립이 가능한 자유 적립식 상품,12개월 이상,24개월 미만,제한없음,제한없음,2.55
081,하나은행,자유적금,계약기간 동안 수시로 적립이 가능한 자유 적립식 상품,60개월,60개월,제한없음,제한없음,2.85
D02,대백저축은행,자유적립예금,일정금액을 정기적으로 납입하여 만기일에 원리금을 지급받는 목돈마련 상품,12개월,12개월,제한없음,제한없음,4.5
D05,드림저축은행,인터넷정기적금(1년이상),목돈 마련에 편리하며 종류에 따라 일정 기간 경과 후 대출도 받으실 수 있는 예금으로 예금자 보호법에 따라 보호가 되는 상품입니다.,36개월 이상,60개월 이하,제한없음,제한없음,3.0
D05,드림저축은행,자유적립예금,목돈 마련에 편리하며 종류에 따라 일정 기간 경과 후 대출도 받으실 수 있는 예금으로 예금자 보호법에 따라 보호가 되는 상품입니다. (월복리 적립식 상품),36개월,36개월,제한없음,제한없음,2.5
A15,애큐온저축은행,애큐온다모아자유적금2,"오픈뱅킹 이용실적에 따라 우대금리
부여하는 고금리 자유적립적금 상품",12개월,12개월,제한없음,제한없음,2.5
A15,애큐온저축은행,찾아쓰는자유적금,"일정한 불입액과 불입일을 정하지 않고
계약기간동안 월 1회 자유롭게 납입가능한 자유적립식 적금
중도해지 없이 납입요건에 따라 필요자금을 중도인출 가능",12개월,12개월,제한없음,제한없음,2.3
A15,애큐온저축은행,찾아쓰는자유적금,"일정한 불입액과 불입일을 정하지 않고
계약기간동안 월 1회 자유롭게 납입가능한 자유적립식 적금
중도해지 없이 납입요건에 따라 필요자금을 중도인출 가능",24개월,24개월,제한없음,제한없음,2.4
A15,애큐온저축은행,찾아쓰는자유적금,"일정한 불입액과 불입일을 정하지 않고
계약기간동안 월 1회 자유롭게 납입가능한 자유적립식 적금
중도해지 없이 납입요건에 따라 필요자금을 중도인출 가능",36개월,36개월,제한없음,제한없음,2.5
011,농협은행,정기적금,일정기간 동안 일정금액을 정기적으로 적립하는 예금상품,24개월 이상,36개월 미만,제한없음,제한없음,1.25
A16,예가람저축은행,2030 Start정기적금,20 ~ 30대 청년들의 꿈을 키워드리는 2030 Start정기적금,12개월 이상,24개월 미만,제한없음,제한없음,2.7
A16,예가람저축은행,2030 Start정기적금,20 ~ 30대 청년들의 꿈을 키워드리는 2030 Start정기적금,24개월 이상,36개월 미만,제한없음,제한없음,2.9
A16,예가람저축은행,2030 Start정기적금,20 ~ 30대 청년들의 꿈을 키워드리는 2030 Start정기적금,36개월,36개월,제한없음,제한없음,3.1
